Target,Comment
0,Tetap bang nabubuy bakal ngantongin SMG
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
0,mau betting soalnya ni all in
1,#7
1,secure pinoy in M5  
1,kkhmmm lombok udh selesai
1,ahahahah why delete comment?
1,mending siapin selimut buat tidur digoa
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
1,kalo #7 diam
0,mndg turuuu
0,cuakss
1,PINDAH AOV AJA SANA WKWKW
1,secure pinoy in M5  
1,#7
1,kodus to geek fam from consistent bottom team to a contender team and now a M series representative what a acheivement for them!!!..
1,RRQ
0,EMYU PEMBAWA SIAL
0,mu masih aja itu dipajang dari kemaren kemaren
0,tuberculosis
0,nabubuy :face-red-heart-shape: :face-red-heart-shape:
1,"PPQ buabr aja udah, ga bosen apa jadi tim HORE kwkw"
1,sheeshhh
1,deleted fans tepos yang #7
1,rrq kalah aja dri skrng nanti ngebadut lgi di m5
1,epause gogogo to goa 
0,kalo TBL?
0,Yang menang ke GC Championship di Sao Paolo Brazil
1,"juara s12, geek, runner up onic, juara tiga btr, posisi 4 rrq"
1,Rrq will Advance to the Toilet bracket
1,jumaatan dlu bro
1,woi solatlah sebelum di solatkan
1,sana markyyxbaloyskiexkairi sa grandfinals
1,"Lemon jangan di kasih edit,naomi aja "
1,final langsung harini atau besok?
0,cwk
0,smg dah angkat piala
1,SUper Ken>>>>>>>>>>>>>>>Fer6 kntl
1,oeee
0,lets gooooo mamang
0,lower
1,pinoy carried the region
1,"Lemon jangan di kasih edit,naomi aja "
0,semangat ci momo
1,ISRAEL DIBANTU MYANMAR SOK KERAS  
1,fans #7 ngetik sambil nangiss 
1,PPQ 100% kalah tandain gw
0,Anjir Fullsense lawan TBD GG
0,entah kenapa aku lebih nyaman raden ijo daripada kuki
0,kasih piala nya sekarang coy ke smg
0,masa cwk kalah sama cwk
1,"Klo geek,btr,rrq...mungkin masih di bilang adu mental,tapi klo onic emang udah mental dan mekanik nya jauh di atas tim2 lain nya"
0,"kalo udah ada raiden, perlu up kuki juga ga?"
1,GEEK for M5  
0,Lynn nya step up kemaren.
1,DIBANTAI HAMAS PALESTINE 🇵🇸
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
0,Nh ini yg gua tunggu2 mumpung gua mau build juga
1,"lower semifinal rrq vs btr, and upper final geek vs onic"
0,"Banyak kali orang2 gak punya kuki
Nunggu banner cyno ayato b4 ada kuki,xl,kirara"
1,bagi yg blom Jumatan silahkan Jum'at an
1,the
1,PPQ kena CUMBACK GEEK wkwkw Lmao Pisan kang
1,MORENO MUKHBANG FAILED
1,kok di private dah itu video live nya !!
0,Pertama bang
1,ingat nonton mpl jangan sambil chas hp
1,ga jumatan
1,deleted fans tepos yang #7
0,"Bang Bennett,Xiangling,Xingqiu,Sucrose wajib lvl.90 kah ?? (biar enak makenya)"
0,TBA?
1,"TIM apa yang sering ikut Mseris tapi ga menang"" adick acik?"
0,SHIRAZI :smiling_face_with_hearts: :smiling_face_with_heart_eyes:
1,hi
1,I hope it’s Onic vs RRQ in the finals 
0,Penonton setia dri May
1,PINDAH AOV AJA SANA WKWKW
0,shirazi  :hot_face: :hot_face: :hot_face:
0,Gw yg gk punya kuki 🥲
1,No win no kairi Pinoy strongest
0,bener
1,WHAT GAMES IS WOLF GONNA CAST?UPPER BRACKET OR LOWER BRACKET?
